Date,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1/1/21 0:00,6.5,4.5,87,0,,0,0,,1020.5,,
1/1/21 1:00,5.5,4.5,93,0,,0,0,,1020.6,,5
1/1/21 2:00,5.5,3.5,87,0,,0,0,,1020.8,,5
1/1/21 3:00,4.5,3.5,93,0,,0,0,,1020.4,,5
1/1/21 4:00,4.5,3.5,93,0,,0,0,,1020,,5
1/1/21 5:00,4.5,3.5,93,0,,0,0,,1020.3,,
1/1/21 6:00,1.5,1.5,100,0,,0,0,,1020.2,,
1/1/21 7:00,2.5,1.5,93,0,,310,0,,1021,,
1/1/21 8:00,5.5,4.5,93,0,,0,7,,1021.6,,
1/1/21 9:00,8.5,4.5,76,0,,140,7,,1022.1,,
1/1/21 10:00,8.5,6.5,87,0,,0,0,,1022.7,,
1/1/21 11:00,11.5,6.6,72,0,,163,0,,1022.8,,
1/1/21 12:00,13.5,5.6,59,0,,175,0,,1021.7,,
1/1/21 13:00,12.5,4.7,59,0,,138,7,,1021,,
1/1/21 14:00,13.5,3.5,51,0,,106,0,,1020.7,,
1/1/21 15:00,13.5,3.5,51,0,,330,13,,1020.4,,
1/1/21 16:00,10.5,7.5,82,0,,330,15,,1021.4,,
1/1/21 17:00,11.5,8,79,0,,302,12.6,,1022.1,,
1/1/21 18:00,8.5,6.5,87,0,,333,0,,1022.5,,
1/1/21 19:00,7.5,6.4,93,0,,58,6,,1022.8,,
1/1/21 20:00,6.5,5.4,93,0,,240,6,,1023.5,,
1/1/21 21:00,8.5,8.2,98,0,,202,3.2,,1023.8,,
1/1/21 22:00,8.5,8.2,98,0,,185,2.9,,1024.1,,
1/1/21 23:00,8.8,8.2,96,0,,131,5,,1024.4,,
1/2/21 0:00,9.1,7.5,90,0.1,,141,9,,1023.9,,
1/2/21 1:00,9.1,7.7,91,0,,167,7.6,,1022.9,,
1/2/21 2:00,9.3,7.7,90,0,,145,5.8,,1023.4,,
1/2/21 3:00,9.3,7.6,89,0.1,,145,7.2,,1023.2,,
1/2/21 4:00,9.4,7.2,86,0,,164,7.2,,1023.6,,7
1/2/21 5:00,9.4,7.3,87,0.1,,146,6.8,,1023.6,,5
1/2/21 6:00,9.5,7.4,87,0.4,,136,9.4,,1023.5,,5
1/2/21 7:00,9.7,8,89,0.3,,150,9.4,,1023.5,,7
1/2/21 8:00,10,8.3,89,0.2,,143,9,,1023.6,,
1/2/21 9:00,10.5,7.5,82,0,,126,0,,1024.4,,
1/2/21 10:00,10.5,7.5,82,0,,350,7,,1025.7,,
1/2/21 11:00,10.5,7.5,82,0,,330,11,,1025.3,,
1/2/21 12:00,10.5,7.5,82,0,,119,7,,1023.9,,
1/2/21 13:00,12.7,10.1,84,0,,115,8.6,,1023.3,,
1/2/21 14:00,11.5,7.6,77,0,,112,0,,1023.2,,
1/2/21 15:00,11.5,8.5,82,0.1,,43,7,,1023,,
1/2/21 16:00,11.5,8.5,82,0.1,,330,7,,1023.4,,
1/2/21 17:00,9.5,8.6,94,0.1,,340,7,,1023.6,,
1/2/21 18:00,9.5,8.6,94,0.1,,340,7,,1024,,
1/2/21 19:00,9.5,8.6,94,0,,312,0,,1024.1,,
1/2/21 20:00,10.7,10.1,96,0,,301,6.1,,1024.5,,
1/2/21 21:00,10.6,9.5,93,0,,188,1.4,,1024.7,,5
1/2/21 22:00,10.3,9.5,95,0,,160,6.5,,1024.8,,5
1/2/21 23:00,10,9.2,95,0,,202,5,,1025.2,,5
1/3/21 0:00,9.9,9.3,96,0,,231,3.6,,1025.1,,5
1/3/21 1:00,9.8,9.2,96,0,,239,4,,1025.1,,5
1/3/21 2:00,9.7,9.1,96,0,,224,1.4,,1025.2,,5
1/3/21 3:00,9.5,9.2,98,0,,165,1.8,,1025.2,,5
1/3/21 4:00,9.5,9,97,0,,155,2.9,,1024.8,,5
1/3/21 5:00,9.1,8.6,97,0,,150,6.1,,1024.5,,5
1/3/21 6:00,8.5,8.5,100,0,,148,0,,1024.8,,5
1/3/21 7:00,8.5,8.5,100,0,,77,7,,1025,,5
1/3/21 8:00,8.5,7.6,94,0,,112,7,,1024.9,,5
1/3/21 9:00,8.5,8.5,100,0,,139,7,,1025.5,,5
1/3/21 10:00,9.5,8.6,94,0,,85,6,,1025.8,,5
1/3/21 11:00,9.5,8.6,94,0,,56,7,,1025.4,,5
1/3/21 12:00,11.1,9,87,0,,348,3.2,,1024.4,,
1/3/21 13:00,10.5,8.6,88,0,,20,9,,1023.4,,5
1/3/21 14:00,10.5,8.6,88,0,,334,7,,1022.5,,5
1/3/21 15:00,10.5,8.6,88,0,,325,0,,1022.6,,5
1/3/21 16:00,9.5,8.6,94,0,,320,7,,1022.2,,5
1/3/21 17:00,10.5,8.6,88,0,,284,0,,1022.3,,5
1/3/21 18:00,9.5,8.6,94,0,,329,7,,1022.6,,5
1/3/21 19:00,9.5,8.6,94,0,,260,13,,1022.7,,5
1/3/21 20:00,8.5,7.6,94,0.1,,112,6,,1021.9,,5
1/3/21 21:00,10.3,9.4,94,0.5,,196,5.8,,1022,,5
1/3/21 22:00,10.5,9.4,93,0.4,,260,2.9,,1022.2,,5
1/3/21 23:00,10.6,9.5,93,0.1,,293,0.7,,1022.2,,5
1/4/21 0:00,10.5,9.4,93,0,,171,2.2,,1022.2,,5
1/4/21 1:00,9.6,9,96,0,,160,6.1,,1021.8,,7
1/4/21 2:00,9.4,8.6,95,0,,157,9.7,,1021.7,,5
1/4/21 3:00,9.4,8.2,92,0,,147,13.7,,1021.5,,5
1/4/21 4:00,9.5,8.1,91,0,,145,18.4,,1020.7,,5
1/4/21 5:00,10,8.3,89,0,,144,18.7,,1020.2,,
1/4/21 6:00,12.5,8.6,77,0.1,,150,22,,1020.1,,
1/4/21 7:00,12.5,8.6,77,0.1,,140,17,,1019.7,,
1/4/21 8:00,14.5,10.5,77,0,,190,26,,1019.4,,
1/4/21 9:00,14.5,10.5,77,0,,180,28,,1019.9,,
1/4/21 10:00,13.5,10.5,82,0.3,,180,26,,1019.8,,
1/4/21 11:00,13.5,11.5,88,2.1,,160,22.3,,1019.7,,
1/4/21 12:00,13.5,12.5,94,0.9,,140,7,,1019.9,,5
1/4/21 13:00,13.5,12.5,94,0.4,,300,7,,1019.9,,5
1/4/21 14:00,13.5,8.5,72,0.5,,260,32,,1020,,
1/4/21 15:00,13.5,7.5,67,0.1,,260,20,,1020.4,,
1/4/21 16:00,12.5,7.6,72,0,,280,15,,1021.2,,
1/4/21 17:00,11.5,7.6,77,0,,249,6,,1021.7,,
1/4/21 18:00,10.5,6.6,77,0,,254,7,,1022.8,,
1/4/21 19:00,8.5,6.5,87,0,,205,0,,1023.6,,
1/4/21 20:00,7.5,6.4,93,0,,206,0,,1023.8,,
1/4/21 21:00,9.6,8.7,94,0,,226,9.7,,1024.7,,
1/4/21 22:00,9.3,8.4,94,0,,220,7.6,,1024.4,,
1/4/21 23:00,8.8,8.2,96,0,,238,7.9,,1024.8,,
1/5/21 0:00,8.7,8.1,96,0,,240,1.8,,1025.1,,
1/5/21 1:00,9,8.2,95,0,,235,2.2,,1024.9,,
1/5/21 2:00,8.8,7.7,93,0,,247,6.1,,1025.4,,
1/5/21 3:00,8.3,7.5,95,0,,208,4.3,,1025.1,,
1/5/21 4:00,7.9,7.3,96,0,,186,3.6,,1024.7,,
1/5/21 5:00,8.7,8.2,97,0,,125,1.4,,1025.4,,
1/5/21 6:00,4.5,3.5,93,0,,147,6,,1025.2,,
1/5/21 7:00,4.5,3.5,93,0,,158,0,,1025.3,,
1/5/21 8:00,6.5,6.5,100,0,,147,0,,1025.5,,
1/5/21 9:00,8.5,7.6,94,0,,38,7,,1025.9,,
1/5/21 10:00,10.5,7.5,82,0,,325,7,,1026.2,,
1/5/21 11:00,11.5,7.6,77,0,,360,13,,1026.3,,
1/5/21 12:00,11.5,6.6,72,0,,309,7,,1025.6,,
1/5/21 13:00,11.5,6.6,72,0,,317,0,,1024.5,,
