Year,capacity cost
2024,67.2192648
2025,72.61300134
2026,78.19559963568001
2027,87.841751134752
2028,97.84247045393262
2029,98.89412177203106
2030,99.94870215467185
2031,104.73075153192265
2032,109.66410340340161
2033,114.75289704912694
2034,120.00137679931996
2035,125.41389458070101
2036,127.01625198736846
2037,128.63253813247033
2038,130.2626692225813
2039,131.90655254104374
2040,133.56408612455567
2041,136.94410933897404
2042,140.40590784751933
2043,143.95140065267088
2044,147.58255080688943
2045,151.30136640701568
2046,152.7494379484576
2047,154.19491180499438
2048,155.63710484061323
2049,157.07530763293485
2050,158.5087836950131
2051,161.67895936891338
2052,164.91253855629162
2053,168.21078932741747
2054,171.57500511396583
2055,175.00650521624513
2056,178.50663532057004
2057,182.07676802698145
2058,185.7183033875211
2059,189.4326694552715
2060,193.22132284437694
