Date,Tres
1/1/24,190
1/2/24,189.995
1/3/24,189.99
1/4/24,189.985
1/5/24,189.98
1/6/24,189.975
1/7/24,189.97
1/8/24,189.965
1/9/24,189.96
1/10/24,189.955
1/11/24,189.95
1/12/24,189.945
1/13/24,189.94
1/14/24,189.935
1/15/24,189.93
1/16/24,189.925
1/17/24,189.92
1/18/24,189.915
1/19/24,189.91
1/20/24,189.905
1/21/24,189.9
1/22/24,189.895
1/23/24,189.89
1/24/24,189.885
1/25/24,189.88
1/26/24,189.875
1/27/24,189.87
1/28/24,189.865
1/29/24,189.86
1/30/24,189.855
1/31/24,189.85
2/1/24,189.845
2/2/24,189.84
2/3/24,189.835
2/4/24,189.83
2/5/24,189.825
2/6/24,189.82
2/7/24,189.815
2/8/24,189.81
2/9/24,189.805
2/10/24,189.8
2/11/24,189.795
2/12/24,189.79
2/13/24,189.785
2/14/24,189.78
2/15/24,189.775
2/16/24,189.77
2/17/24,189.765
2/18/24,189.76
2/19/24,189.755
2/20/24,189.75
2/21/24,189.745
2/22/24,189.74
2/23/24,189.735
2/24/24,189.73
2/25/24,189.725
2/26/24,189.72
2/27/24,189.715
2/28/24,189.71
2/29/24,189.705
3/1/24,189.7
3/2/24,189.695
3/3/24,189.69
3/4/24,189.685
3/5/24,189.68
3/6/24,189.675
3/7/24,189.67
3/8/24,189.665
3/9/24,189.66
3/10/24,189.655
3/11/24,189.65
3/12/24,189.645
3/13/24,189.64
3/14/24,189.635
3/15/24,189.63
3/16/24,189.625
3/17/24,189.62
3/18/24,189.615
3/19/24,189.61
3/20/24,189.605
3/21/24,189.6
3/22/24,189.595
3/23/24,189.59
3/24/24,189.585
3/25/24,189.58
3/26/24,189.575
3/27/24,189.57
3/28/24,189.565
3/29/24,189.56
3/30/24,189.555
3/31/24,189.55
4/1/24,189.545
4/2/24,189.54
4/3/24,189.535
4/4/24,189.53
4/5/24,189.525
4/6/24,189.52
4/7/24,189.515
4/8/24,189.51
