Date,Tres_deg_C,m_kg_per_sec
1/1/24,190,80
1/2/24,189.995,80
1/3/24,189.99,80
1/4/24,189.985,80
1/5/24,189.98,80
1/6/24,189.975,80
1/7/24,189.97,80
1/8/24,189.965,80
1/9/24,189.96,80
1/10/24,189.955,80
1/11/24,189.95,80
1/12/24,189.945,80
1/13/24,189.94,80
1/14/24,189.935,80
1/15/24,189.93,80
1/16/24,189.925,80
1/17/24,189.92,80
1/18/24,189.915,80
1/19/24,189.91,80
1/20/24,189.905,80
1/21/24,189.9,80
1/22/24,189.895,80
1/23/24,189.89,80
1/24/24,189.885,80
1/25/24,189.88,80
1/26/24,189.875,80
1/27/24,189.87,80
1/28/24,189.865,80
1/29/24,189.86,80
1/30/24,189.855,80
1/31/24,189.85,80
2/1/24,189.845,80
2/2/24,189.84,80
2/3/24,189.835,80
2/4/24,189.83,80
2/5/24,189.825,80
2/6/24,189.82,80
2/7/24,189.815,80
2/8/24,189.81,80
2/9/24,189.805,80
2/10/24,189.8,80
2/11/24,189.795,80
2/12/24,189.79,80
2/13/24,189.785,80
2/14/24,189.78,80
2/15/24,189.775,80
2/16/24,189.77,80
2/17/24,189.765,80
2/18/24,189.76,80
2/19/24,189.755,80
2/20/24,189.75,80
2/21/24,189.745,80
2/22/24,189.74,80
2/23/24,189.735,80
2/24/24,189.73,80
2/25/24,189.725,80
2/26/24,189.72,80
2/27/24,189.715,80
2/28/24,189.71,80
2/29/24,189.705,80
3/1/24,189.7,80
3/2/24,189.695,80
3/3/24,189.69,80
3/4/24,189.685,80
3/5/24,189.68,80
3/6/24,189.675,80
3/7/24,189.67,80
3/8/24,189.665,80
3/9/24,189.66,80
3/10/24,189.655,80
3/11/24,189.65,80
3/12/24,189.645,80
3/13/24,189.64,80
3/14/24,189.635,80
3/15/24,189.63,80
3/16/24,189.625,80
3/17/24,189.62,80
3/18/24,189.615,80
3/19/24,189.61,80
3/20/24,189.605,80
3/21/24,189.6,80
3/22/24,189.595,80
3/23/24,189.59,80
3/24/24,189.585,80
3/25/24,189.58,80
3/26/24,189.575,80
3/27/24,189.57,80
3/28/24,189.565,80
3/29/24,189.56,80
3/30/24,189.555,80
3/31/24,189.55,80
4/1/24,189.545,80
4/2/24,189.54,80
4/3/24,189.535,80
4/4/24,189.53,80
4/5/24,189.525,80
4/6/24,189.52,80
4/7/24,189.515,80
4/8/24,189.51,80
4/9/24,189.505,80
4/10/24,189.5,80
4/11/24,189.495,80
4/12/24,189.49,80
4/13/24,189.485,80
4/14/24,189.48,80
4/15/24,189.475,80
4/16/24,189.47,80
4/17/24,189.465,80
4/18/24,189.46,80
4/19/24,189.455,80
4/20/24,189.45,80
4/21/24,189.445,80
4/22/24,189.44,80
4/23/24,189.435,80
4/24/24,189.43,80
4/25/24,189.425,80
4/26/24,189.42,80
4/27/24,189.415,80
4/28/24,189.41,80
4/29/24,189.405,80
4/30/24,189.4,80
5/1/24,189.395,80
5/2/24,189.39,80
5/3/24,189.385,80
5/4/24,189.38,80
5/5/24,189.375,80
5/6/24,189.37,80
5/7/24,189.365,80
5/8/24,189.36,80
5/9/24,189.355,80
5/10/24,189.35,80
5/11/24,189.345,80
5/12/24,189.34,80
5/13/24,189.335,80
5/14/24,189.33,80
5/15/24,189.325,80
5/16/24,189.32,80
5/17/24,189.315,80
5/18/24,189.31,80
5/19/24,189.305,80
5/20/24,189.3,80
5/21/24,189.295,80
5/22/24,189.29,80
5/23/24,189.285,80
5/24/24,189.28,80
5/25/24,189.275,80
5/26/24,189.27,80
5/27/24,189.265,80
5/28/24,189.26,80
5/29/24,189.255,80
5/30/24,189.25,80
5/31/24,189.245,80
6/1/24,189.24,80
6/2/24,189.235,80
6/3/24,189.23,80
6/4/24,189.225,80
6/5/24,189.22,80
6/6/24,189.215,80
6/7/24,189.21,80
6/8/24,189.205,80
6/9/24,189.2,80
6/10/24,189.195,80
6/11/24,189.19,80
6/12/24,189.185,80
6/13/24,189.18,80
6/14/24,189.175,80
6/15/24,189.17,80
6/16/24,189.165,80
6/17/24,189.16,80
6/18/24,189.155,80
6/19/24,189.15,80
6/20/24,189.145,80
6/21/24,189.14,80
6/22/24,189.135,80
6/23/24,189.13,80
6/24/24,189.125,80
6/25/24,189.12,80
6/26/24,189.115,80
6/27/24,189.11,80
6/28/24,189.105,80
6/29/24,189.1,80
6/30/24,189.095,80
7/1/24,189.09,80
7/2/24,189.085,80
7/3/24,189.08,80
7/4/24,189.075,80
7/5/24,189.07,80
7/6/24,189.065,80
7/7/24,189.06,80
7/8/24,189.055,80
7/9/24,189.05,80
7/10/24,189.045,80
7/11/24,189.04,80
7/12/24,189.035,80
7/13/24,189.03,80
7/14/24,189.025,80
7/15/24,189.02,80
7/16/24,189.015,80
7/17/24,189.01,80
7/18/24,189.005,80
7/19/24,189,80
7/20/24,188.995,80
7/21/24,188.99,80
7/22/24,188.985,80
7/23/24,188.98,80
7/24/24,188.975,80
7/25/24,188.97,80
7/26/24,188.965,80
7/27/24,188.96,80
7/28/24,188.955,80
7/29/24,188.95,80
7/30/24,188.945,80
7/31/24,188.94,80
8/1/24,188.935,80
8/2/24,188.93,80
8/3/24,188.925,80
8/4/24,188.92,80
8/5/24,188.915,80
8/6/24,188.91,80
8/7/24,188.905,80
8/8/24,188.9,80
8/9/24,188.895,80
8/10/24,188.89,80
8/11/24,188.885,80
8/12/24,188.88,80
8/13/24,188.875,80
8/14/24,188.87,80
8/15/24,188.865,80
8/16/24,188.86,80
8/17/24,188.855,80
8/18/24,188.85,80
8/19/24,188.845,80
8/20/24,188.84,80
8/21/24,188.835,80
8/22/24,188.83,80
8/23/24,188.825,80
8/24/24,188.82,80
8/25/24,188.815,80
8/26/24,188.81,80
8/27/24,188.805,80
8/28/24,188.8,80
8/29/24,188.795,80
8/30/24,188.79,80
8/31/24,188.785,80
9/1/24,188.78,80
9/2/24,188.775,80
9/3/24,188.77,80
9/4/24,188.765,80
9/5/24,188.76,80
9/6/24,188.755,80
9/7/24,188.75,80
9/8/24,188.745,80
9/9/24,188.74,80
9/10/24,188.735,80
9/11/24,188.73,80
9/12/24,188.725,80
9/13/24,188.72,80
9/14/24,188.715,80
9/15/24,188.71,80
9/16/24,188.705,80
9/17/24,188.7,80
9/18/24,188.695,80
9/19/24,188.69,80
9/20/24,188.685,80
9/21/24,188.68,80
9/22/24,188.675,80
9/23/24,188.67,80
9/24/24,188.665,80
9/25/24,188.66,80
9/26/24,188.655,80
9/27/24,188.65,80
9/28/24,188.645,80
9/29/24,188.64,80
9/30/24,188.635,80
10/1/24,188.63,80
10/2/24,188.625,80
10/3/24,188.62,80
10/4/24,188.615,80
10/5/24,188.61,80
10/6/24,188.605,80
10/7/24,188.6,80
10/8/24,188.595,80
10/9/24,188.59,80
10/10/24,188.585,80
10/11/24,188.58,80
10/12/24,188.575,80
10/13/24,188.57,80
10/14/24,188.565,80
10/15/24,188.56,80
10/16/24,188.555,80
10/17/24,188.55,80
10/18/24,188.545,80
10/19/24,188.54,80
10/20/24,188.535,80
10/21/24,188.53,80
10/22/24,188.525,80
10/23/24,188.52,80
10/24/24,188.515,80
10/25/24,188.51,80
10/26/24,188.505,80
10/27/24,188.5,80
10/28/24,188.495,80
10/29/24,188.49,80
10/30/24,188.485,80
10/31/24,188.48,80
11/1/24,188.475,80
11/2/24,188.47,80
11/3/24,188.465,80
11/4/24,188.46,80
11/5/24,188.455,80
11/6/24,188.45,80
11/7/24,188.445,80
11/8/24,188.44,80
11/9/24,188.435,80
11/10/24,188.43,80
11/11/24,188.425,80
11/12/24,188.42,80
11/13/24,188.415,80
11/14/24,188.41,80
11/15/24,188.405,80
11/16/24,188.4,80
11/17/24,188.395,80
11/18/24,188.39,80
11/19/24,188.385,80
11/20/24,188.38,80
11/21/24,188.375,80
11/22/24,188.37,80
11/23/24,188.365,80
11/24/24,188.36,80
11/25/24,188.355,80
11/26/24,188.35,80
11/27/24,188.345,80
11/28/24,188.34,80
11/29/24,188.335,80
11/30/24,188.33,80
12/1/24,188.325,80
12/2/24,188.32,80
12/3/24,188.315,80
12/4/24,188.31,80
12/5/24,188.305,80
12/6/24,188.3,80
12/7/24,188.295,80
12/8/24,188.29,80
12/9/24,188.285,80
12/10/24,188.28,80
12/11/24,188.275,80
12/12/24,188.27,80
12/13/24,188.265,80
12/14/24,188.26,80
12/15/24,188.255,80
12/16/24,188.25,80
12/17/24,188.245,80
12/18/24,188.24,80
12/19/24,188.235,80
12/20/24,188.23,80
12/21/24,188.225,80
12/22/24,188.22,80
12/23/24,188.215,80
12/24/24,188.21,80
12/25/24,188.205,80
12/26/24,188.2,80
12/27/24,188.195,80
12/28/24,188.19,80
12/29/24,188.185,80
12/30/24,188.18,80
12/31/24,188.175,80
1/1/25,188.17,80
1/2/25,188.165,80
1/3/25,188.16,80
1/4/25,188.155,80
1/5/25,188.15,80
1/6/25,188.145,80
1/7/25,188.14,80
1/8/25,188.135,80
1/9/25,188.13,80
1/10/25,188.125,80
1/11/25,188.12,80
1/12/25,188.115,80
1/13/25,188.11,80
1/14/25,188.105,80
1/15/25,188.1,80
1/16/25,188.095,80
1/17/25,188.09,80
1/18/25,188.085,80
1/19/25,188.08,80
1/20/25,188.075,80
1/21/25,188.07,80
1/22/25,188.065,80
1/23/25,188.06,80
1/24/25,188.055,80
1/25/25,188.05,80
1/26/25,188.045,80
1/27/25,188.04,80
1/28/25,188.035,80
1/29/25,188.03,80
1/30/25,188.025,80
1/31/25,188.02,80
2/1/25,188.015,80
2/2/25,188.01,80
2/3/25,188.005,80
2/4/25,188,80
2/5/25,187.995,80
2/6/25,187.99,80
2/7/25,187.985,80
2/8/25,187.98,80
2/9/25,187.975,80
2/10/25,187.97,80
2/11/25,187.965,80
2/12/25,187.96,80
2/13/25,187.955,80
2/14/25,187.95,80
2/15/25,187.945,80
2/16/25,187.94,80
2/17/25,187.935,80
2/18/25,187.93,80
2/19/25,187.925,80
2/20/25,187.92,80
2/21/25,187.915,80
2/22/25,187.91,80
2/23/25,187.905,80
2/24/25,187.9,80
2/25/25,187.895,80
2/26/25,187.89,80
2/27/25,187.885,80
2/28/25,187.88,80
3/1/25,187.875,80
3/2/25,187.87,80
3/3/25,187.865,80
3/4/25,187.86,80
3/5/25,187.855,80
3/6/25,187.85,80
3/7/25,187.845,80
3/8/25,187.84,80
3/9/25,187.835,80
3/10/25,187.83,80
3/11/25,187.825,80
3/12/25,187.82,80
3/13/25,187.815,80
3/14/25,187.81,80
3/15/25,187.805,80
3/16/25,187.8,80
3/17/25,187.795,80
3/18/25,187.79,80
3/19/25,187.785,80
3/20/25,187.78,80
3/21/25,187.775,80
3/22/25,187.77,80
3/23/25,187.765,80
3/24/25,187.76,80
3/25/25,187.755,80
3/26/25,187.75,80
3/27/25,187.745,80
3/28/25,187.74,80
3/29/25,187.735,80
3/30/25,187.73,80
3/31/25,187.725,80
4/1/25,187.72,80
4/2/25,187.715,80
4/3/25,187.71,80
4/4/25,187.705,80
4/5/25,187.7,80
4/6/25,187.695,80
4/7/25,187.69,80
4/8/25,187.685,80
4/9/25,187.68,80
4/10/25,187.675,80
4/11/25,187.67,80
4/12/25,187.665,80
4/13/25,187.66,80
4/14/25,187.655,80
4/15/25,187.65,80
4/16/25,187.645,80
4/17/25,187.64,80
4/18/25,187.635,80
