T_amb [deg C],T [deg C],m_turbine [kg/s],Net Output [MWh],T_inj [deg C],power_output [MWh/kg]
15,125,80,2.25,60,7.8125E-06
10,125,80,2.34,60,0.000008125
5,125,80,2.38,60,8.26389E-06
0,125,80,2.4,60,8.33333E-06
20,125,80,2.01,61.937,6.97917E-06
25,125,80,1.76,64.648,6.11111E-06
30,125,80,1.52,66.366,5.27778E-06
15,130,80,2.47,60,8.57639E-06
15,135,80,2.65,61.28,9.20139E-06
15,140,80,2.81,62.288,9.75694E-06
15,145,80,2.96,63.224,1.02778E-05
15,120,80,2,59.64,6.94444E-06
15,115,80,1.77,59.354,6.14583E-06
15,110,80,1.54,59.166,5.34722E-06
15,105,80,1.31,58.981,4.54861E-06
15,100,80,1.06,56.704,3.68056E-06
15,125,90,2.42,64.087,7.46914E-06
15,125,100,2.56,67.754,7.11111E-06
15,125,110,2.65,71.361,6.69192E-06
15,125,120,2.74,74.997,6.34259E-06
15,125,70,2.04,55.19,8.09524E-06
15,125,60,1.82,49.334,8.42593E-06
15,125,50,1.58,42.461,8.77778E-06
15,125,40,1.26,35.186,0.00000875
