,T_amb [deg C],T [deg C],m_turbine [kg/s],Net Output [MWh],T_inj [deg C],power_output [MWh/kg]
0,0,125,80,1.0666666666666667,60.0,3.7037022222222225e-06
1,5,125,80,1.0577777777777777,60.0,3.67284e-06
2,5,210,80,1.0348837209302326,58.242,3.5933488372093023e-06
3,10,125,80,1.04,60.0,3.6111111111111106e-06
4,10,210,80,1.0232558139534884,59.954,3.552976744186047e-06
5,15,125,80,1.0,60.0,3.4722222222222224e-06
6,15,220,80,1.0813953488372094,66.737,3.7548488372093027e-06
7,15,230,80,1.1627906976744187,70.524,4.037465116279069e-06
8,15,240,80,1.2325581395348837,77.805,4.279720930232558e-06
9,15,250,80,1.2906976744186047,85.385,4.4815930232558135e-06
10,15,260,80,1.3488372093023255,93.226,4.6834651162790705e-06
11,15,270,80,1.4069767441860466,101.31,4.885337209302326e-06
12,15,280,80,1.4651162790697674,109.66,5.087209302325582e-06
13,15,190,80,0.8255813953488372,53.809,2.8666046511627907e-06
14,15,180,80,0.7209302325581396,51.276,2.503232558139535e-06
15,15,210,90,1.0930232558139537,70.479,3.3735232558139535e-06
16,15,210,100,1.1627906976744187,81.915,3.229976744186047e-06
17,15,210,110,1.2093023255813955,91.677,3.053790697674419e-06
18,15,210,120,1.2558139534883723,100.07,2.9069767441860468e-06
19,15,210,70,0.8837209302325582,51.267,3.506825581395349e-06
20,15,210,60,0.7558139534883721,40.629,3.499139534883721e-06
21,15,200,80,0.9186046511627908,56.87,3.189604651162791e-06
22,15,210,80,1.0,60.0,3.4722209302325583e-06
23,15,125,40,0.56,35.186,3.888888888888889e-06
24,15,125,50,0.7022222222222223,42.461,3.901235555555556e-06
25,15,130,80,1.097777777777778,60.0,3.811728888888889e-06
26,15,135,80,1.1777777777777778,61.28,4.089506666666667e-06
27,15,140,80,1.248888888888889,62.288,4.336417777777778e-06
28,15,145,80,1.3155555555555556,63.224,4.567911111111111e-06
29,15,120,80,0.8888888888888888,59.64,3.086417777777778e-06
30,15,115,80,0.7866666666666666,59.354,2.73148e-06
31,15,110,80,0.6844444444444444,59.166,2.376542222222222e-06
32,15,210,50,0.6046511627906977,35.239,3.359174418604651e-06
33,15,100,80,0.47111111111111115,56.704,1.6358044444444444e-06
34,15,105,80,0.5822222222222222,58.981,2.0216044444444444e-06
35,15,125,100,1.1377777777777778,67.754,3.1604933333333336e-06
36,15,125,110,1.1777777777777778,71.361,2.9741866666666666e-06
37,15,125,120,1.2177777777777778,74.997,2.818928888888889e-06
38,15,125,70,0.9066666666666667,55.19,3.5978844444444443e-06
39,15,125,60,0.8088888888888889,49.334,3.744857777777778e-06
40,15,125,90,1.0755555555555556,64.087,3.319617777777778e-06
41,15,210,40,0.4534883720930233,42.934,3.149220930232558e-06
42,20,210,80,0.9418604651162791,64.186,3.2703488372093026e-06
43,20,125,80,0.8933333333333332,61.937,3.1018533333333332e-06
44,25,210,80,0.872093023255814,67.919,3.0281046511627907e-06
45,25,125,80,0.7822222222222223,64.648,2.716048888888889e-06
46,30,210,80,0.8255813953488372,70.003,2.8666046511627907e-06
47,30,125,80,0.6755555555555556,66.366,2.34568e-06
